"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","Germany","Bavaria","49.97704","9.15214"
"avignon_FR_gid_3035681","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"blois_FR_gid_3032213","Blois","France","Centre-Val de Loire","47.58333","1.33333"
"bourges_FR_gid_3031005","Bourges","France","Centre-Val de Loire","47.08333","2.4"
"brugge_BE_gid_2800931","Bruges","Belgium","Flanders","51.20892","3.22424"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878"
"calais_FR_gid_3029162","Calais","France","Hauts-de-France","50.95194","1.85635"
"cambridge_GB_gid_2653941","Cambridge","United Kingdom","England","52.2","0.11667"
"canterbury_GB_gid_2653877","Canterbury","United Kingdom","England","51.27904","1.07992"
"carpentras_FR_gid_3028542","Carpentras","France","Provence-Alpes-Côte d'Azur","44.05","5.05"
"chelsea_GB_gid_2653265","Chelsea","United Kingdom","England","51.48755","-0.16936"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222"
"gentilly_FR_gid_3016292","Gentilly","France","Île-de-France","48.81294","2.3417"
"gent_BE_gid_2797656","Ghent","Belgium","Flanders","51.05","3.71667"
"greenwich_GB_gid_2647937","Greenwich","United Kingdom","England","51.47785","-0.01176"
"köln_DE_gid_2886242","Cologne","Germany","North-Rhine-Westphalia","50.93333","6.95"
"konstanz_DE_gid_2885679","Konstanz","Germany","Baden-Wurttemberg","47.66033","9.17582"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"liège_BE_gid_2792413","Liège","Belgium","Wallonia","50.63373","5.56749"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574"
"lyon_FR_gid_2996944","Lyon","France","Auvergne-Rhône-Alpes","45.74846","4.84671"
"marly_la_ville_FR_gid_2995653","Marly-la-Ville","France","Île-de-France","49.08201","2.50347"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flanders","51.02574","4.47762"
"niederheimbach_DE_gid_2863341","Niederheimbach","Germany","Rheinland-Pfalz","50.03333","7.81667"
"noves_FR_gid_2989935","Noves","France","Provence-Alpes-Côte d'Azur","43.87736","4.90248"
"padova_IT_gid_3171728","Padua","Italy","Veneto","45.40797","11.88586"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"richmond_palace_GB_gid_unknown","Richmond","United Kingdom","England","51.46171","-0.30633"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133"
"saint_germain_des_près_FR_gid_6693610","Saint-Germain-des-Prés","France","Île-de-France","48.85377","2.33331"
"saint_germain_en_laye_FR_gid_2979783","Saint-Germain-en-Laye","France","Île-de-France","48.9","2.08333"
"toulouse_FR_gid_2972315","Toulouse","France","Occitanie","43.60426","1.44367"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"vic_sur_seille_FR_gid_2969364","Vic-sur-Seille","France","Grand Est","48.78204","6.53081"
"zaragosa_ES_gid_3104324","Zaragoza","Spain","Aragon","41.65606","-0.87734"
