"Location Name Modern","Latitude","Longitude","Number of letters sent to this location by Budé to mutual correspondents of his and Erasmus (excl. Erasmus)"
"Paris","48.85341","2.3488","23"
"London","51.50853","-0.12574","8"
"Leuven","50.87959","4.70093","7"
"Unknown","0","0","6"
"Unknown Location in Italy","0","0","6"
"Rome","41.89193","12.51133","5"
"Unknown Location in France","0","0","3"
"Venice","45.43713","12.33265","2"
"Basel","47.5584","7.57327","2"
"Rodez","44.35258","2.57338","2"
"Fontenay","46.46667","-0.81667","2"
"Bourges","47.08333","2.4","2"
"Padova","45.40797","11.88586","1"
"Frankfurt am Main","50.11552","8.68417","1"
"Carpentras","44.05","5.05","1"
"Avignon","43.94834","4.80892","1"
"Antwerpen","51.21989","4.40346","1"
"Cambridge","52.2","0.11667","1"
"Milano","45.46427","9.18951","1"
"Freiburg","47.9959","7.85222","1"
"Köln","50.93333","6.95","1"
"Orléans","47.90289","1.90389","1"
