"Location Name","Latitude","Longitude","Number of years letters are written from this location to Pirckheimer","Number of letters written from this location to Pirckheimer","Average Number of Letters written from this location to Pirckheimer per year"
"Nürnberg","49.45421","11.07752","25","146","5.8400"
"Augsburg","48.37154","10.89851","19","109","5.7368"
"Bamberg","49.89873","10.90067","18","86","4.7778"
"Bergen Abbey","48.73218","11.18709","17","85","5.0000"
"Klarissenkloster St. Klara","49.448611","11.079444","13","67","5.1538"
"Basel","47.5584","7.57327","13","45","3.4615"
"Leipzig","51.33962","12.37129","14","27","1.9286"
"Bologna","44.49381","11.33875","5","22","4.4000"
"Herford","52.11457","8.67343","7","20","2.8571"
"Geisenfeld Abbey","48.683256","11.613472","7","19","2.7143"
"Venice","45.43713","12.33265","6","18","3.0000"
"Ingolstadt","48.76508","11.42372","4","14","3.5000"
"Innsbruck","47.26266","11.39454","8","13","1.6250"
"Eichstätt","48.88854","11.19675","7","13","1.8571"
"Feldkirch","47.23306","9.6","4","13","3.2500"
"Strasbourg","48.58342","7.74296","3","12","4.0000"
"Wittenberg","51.8661","12.64973","7","12","1.7143"
"Vienna","48.20849","16.37208","8","12","1.5000"
"Kirchehrenbach","49.73333","11.15","2","11","5.5000"
"Stuttgart","48.78232","9.17702","4","10","2.5000"
"Frankfurt am Main","50.11552","8.68417","3","10","3.3333"
"Freiburg","47.9959","7.85222","3","9","3.0000"
"Monastery Rebdorf","48.888103","11.167556","4","8","2.0000"
"Rome","41.89193","12.51133","4","6","1.5000"
"Passau","48.5665","13.43122","4","5","1.2500"
"Altenburg","50.98763","12.43684","3","5","1.6667"
"Milano","45.46427","9.18951","5","5","1.0000"
"Burgos","42.35022","-3.67527","3","5","1.6667"
"Dresden","51.05089","13.73832","3","5","1.6667"
"Köln","50.93333","6.95","4","5","1.2500"
"Erfurt","50.9787","11.03283","4","5","1.2500"
"Nördlingen","48.85122","10.48868","3","4","1.3333"
"Mainz","49.98419","8.2791","3","4","1.3333"
"Wrocław","51.1","17.03333","2","4","2.0000"
"Ravensburg","47.78198","9.61062","2","4","2.0000"
"Toledo","39.8581","-4.02263","2","4","2.0000"
"Donauwörth","48.71804","10.7793","4","4","1.0000"
"Pavia","45.19205","9.15917","2","4","2.0000"
"Lichtenau","49.27746","10.68674","3","4","1.3333"
"Würzburg","49.79391","9.95121","4","4","1.0000"
"Granada","37.18817","-3.60667","1","4","4.0000"
"Leuven","50.87959","4.70093","3","4","1.3333"
"Valladolid","41.65518","-4.72372","1","4","4.0000"
"Ulm","48.39841","9.99155","2","3","1.5000"
"Regensburg","49.01513","12.10161","2","3","1.5000"
"Mirandola","44.88515","11.06902","3","3","1.0000"
"Ansbach","49.30481","10.5931","3","3","1.0000"
"Mainz-St. Viktorsberg","49.98419","8.2791","3","3","1.0000"
"Tübingen","48.52266","9.05222","2","3","1.5000"
"Esslingen","48.73961","9.30473","2","2","1.0000"
"Munich","48.13743","11.57549","2","2","1.0000"
"Schwäbisch Hall","49.11127","9.73908","2","2","1.0000"
"Wertheim","49.759","9.50852","2","2","1.0000"
"Neuenstein","49.2049","9.58","2","2","1.0000"
"Neuburg an der Donau","48.73218","11.18709","2","2","1.0000"
"Linz","48.30639","14.28611","1","2","2.0000"
"Sevilla","37.38283","-5.97317","1","2","2.0000"
"Blois","47.58333","1.33333","1","2","2.0000"
"Forchheim","49.71754","11.05877","2","2","1.0000"
"Haguenau","48.81557","7.79051","1","2","2.0000"
"Langenburg","49.25401","9.85673","1","2","2.0000"
"Amberg","49.44287","11.86267","2","2","1.0000"
"Sélestat","48.26667","7.45","2","2","1.0000"
"Chiateoscutella","0","0","1","2","2.0000"
"Waischenfeld","49.84645","11.3481","1","2","2.0000"
"Kitzingen","49.73973","10.15072","1","2","2.0000"
"Schloss Schillingsfürst","49.289854","10.257884","1","1","1.0000"
"Tours","47.38333","0.68333","1","1","1.0000"
"Georgenthal","50.83205","10.66266","1","1","1.0000"
"Aschaffenburg","49.97704","9.15214","1","1","1.0000"
"Kalbensteinberg","49.17645","10.84607","1","1","1.0000"
"Roding","49.19426","12.51956","1","1","1.0000"
"Freiberg","50.91089","13.33881","1","1","1.0000"
"Katharinenkloster Nürnberg","49.451667","11.081944","1","1","1.0000"
"Gmunden","47.91839","13.79933","1","1","1.0000"
"Fürth","49.47593","10.98856","1","1","1.0000"
"Zeil","50.00986","10.5947","1","1","1.0000"
"Garmisch-Partenkirchen","47.49209","11.09576","1","1","1.0000"
"Palencia","42.00955","-4.52406","1","1","1.0000"
"Hollfeld","49.93793","11.29153","1","1","1.0000"
"Wiener Neustadt","47.8","16.25","1","1","1.0000"
"Göppingen","48.70354","9.65209","1","1","1.0000"
"Jena","50.92878","11.5899","1","1","1.0000"
"Schloss Schwarzenberg (Scheinfeld)","49.672","10.47555","1","1","1.0000"
"Genève","46.20222","6.14569","1","1","1.0000"
"Weil der Stadt","48.74953","8.87176","1","1","1.0000"
"Orléans","47.90289","1.90389","1","1","1.0000"
"Lauf an der Pegnitz","49.51386","11.28247","1","1","1.0000"
"Burg Ebernburg","49.807044","7.838608","1","1","1.0000"
"Bolzano","46.49067","11.33982","1","1","1.0000"
"Ferrara","44.84346","11.60868","1","1","1.0000"
"Feldlager bei Herrenberg","48.59523","8.86648","1","1","1.0000"
"Schloss Münchsdorf","48.588261","12.903188","1","1","1.0000"
"Pillenreuth Abbey","49.379167","11.078056","1","1","1.0000"
"Beaune","47.03333","4.83333","1","1","1.0000"
"Florence","43.77925","11.24626","1","1","1.0000"
"Siena","43.31822","11.33064","1","1","1.0000"
"Wiesensteig","48.56127","9.6254","1","1","1.0000"
"Padova","45.40797","11.88586","1","1","1.0000"
"Hilpoltstein","49.19047","11.1906","1","1","1.0000"
"Marienburg Abbey","49.235","10.965278","1","1","1.0000"
"Neumarkt in der Oberpfalz","49.28028","11.46278","1","1","1.0000"
"Oleśnica","51.21338","17.38986","1","1","1.0000"
"Dachsbach","49.64051","10.70652","1","1","1.0000"
"Zürich","47.36667","8.55","1","1","1.0000"
"Baden","48.00543","16.23264","1","1","1.0000"
"Wildberg","48.62336","8.74518","1","1","1.0000"
"Pamplona","42.81687","-1.64323","1","1","1.0000"
"Graz","47.06667","15.45","1","1","1.0000"
"Prague","50.08804","14.42076","1","1","1.0000"
"Marienstein Abbey","48.893031","11.162989","1","1","1.0000"
"Hall in Tirol","47.28333","11.51667","1","1","1.0000"
"Toulouse","43.60426","1.44367","1","1","1.0000"
"Weinsberg","49.15127","9.28762","1","1","1.0000"
"Solothurn","47.20791","7.53714","1","1","1.0000"
"Salzburg","47.79941","13.04399","1","1","1.0000"
"Schloß Schwarzenburg","49.35412","12.49065","1","1","1.0000"
"Kornburg","49.35521","11.09885","1","1","1.0000"
"Trento","46.06787","11.12108","1","1","1.0000"
"Bad Tölz","47.76111","11.5589","1","1","1.0000"
"Antwerpen","51.21989","4.40346","1","1","1.0000"
"Königstein","49.60854","11.63143","1","1","1.0000"
"Torgau","51.56016","12.99617","1","1","1.0000"
"Weißenburg in Bayern","49.03095","10.97221","1","1","1.0000"
